ndvi,umidade_solo,precipitacao_72h,temperatura_max,inclinacao_terreno,focos_queimadas,dist_rio_km,historico_eventos,bioma,risco
0.89,95.0,209.5,34.72,7.38,4,9.474,2,Amazônia,1
0.7031,34.5,28.25,24.34,23.32,1,5.875,6,Amazônia,0
0.7818,95.0,182.19,34.94,14.23,1,2.618,1,Sul,1
0.6285,95.0,186.83,23.17,13.93,15,2.823,2,Sul,2
0.1639,12.29,23.21,47.71,0.08,5,1.098,3,Semiárido,1
0.6156,49.54,92.74,39.62,11.26,31,0.1,2,Cerrado,1
0.65,65.42,114.37,25.02,21.77,6,2.149,4,Amazônia,1
0.5658,84.36,143.15,23.63,39.28,16,0.803,6,Mata Atlântica,2
0.4575,12.13,7.24,27.89,18.16,67,2.739,7,Cerrado,1
0.8305,67.04,126.93,41.73,16.44,41,8.974,2,Amazônia,1
0.2915,70.19,120.33,22.43,21.57,7,0.609,3,Mata Atlântica,1
0.8961,24.5,51.72,35.46,19.37,29,0.481,9,Amazônia,1
0.5628,95.0,198.76,18.71,26.93,12,11.619,3,Sul,1
0.3667,7.48,9.92,34.93,18.2,25,6.835,4,Cerrado,0
0.6026,57.06,137.29,26.37,10.03,9,0.273,2,Mata Atlântica,2
0.6118,32.89,50.19,26.53,23.95,6,0.415,5,Cerrado,1
0.2006,37.82,31.31,30.61,47.23,17,5.775,4,Mata Atlântica,1
0.6921,52.22,82.57,23.92,21.6,16,2.313,1,Mata Atlântica,1
0.6231,70.16,119.13,23.49,16.87,47,6.44,4,Amazônia,1
0.7264,50.43,88.21,21.16,19.22,5,2.591,4,Sul,1
0.2916,11.23,5.38,44.56,0.21,13,17.177,3,Semiárido,0
0.7874,36.16,84.75,20.69,22.03,4,5.928,1,Sul,1
0.4664,59.86,149.45,29.57,30.13,14,0.239,5,Sul,2
0.5412,65.69,119.05,28.32,46.76,12,2.006,4,Mata Atlântica,1
0.5101,46.78,57.82,17.65,36.64,15,4.146,3,Sul,1
0.7829,34.57,48.01,30.23,12.24,17,0.765,6,Amazônia,1
0.7048,85.05,154.14,26.06,6.44,4,0.1,2,Amazônia,1
0.6269,53.24,67.27,35.96,9.85,16,0.413,4,Amazônia,1
0.6242,61.28,107.03,24.48,21.27,22,3.714,5,Cerrado,1
0.5942,40.87,70.08,40.96,23.18,11,5.002,1,Cerrado,1
0.5655,45.14,91.72,23.8,2.91,13,0.488,0,Cerrado,1
0.2007,38.51,27.13,45.05,19.45,7,5.47,6,Semiárido,1
0.5882,70.43,123.69,38.67,14.46,44,4.8,4,Cerrado,1
0.5001,69.35,147.18,35.61,14.64,71,14.058,4,Cerrado,1
0.625,31.67,68.29,40.25,19.57,13,9.184,4,Mata Atlântica,1
0.6813,31.76,25.81,24.78,5.57,47,14.345,1,Amazônia,0
0.1509,5.0,2.38,39.62,13.28,5,16.923,2,Semiárido,0
0.8812,46.71,48.14,27.04,7.98,20,2.906,5,Amazônia,0
0.7811,59.94,158.37,16.24,28.17,11,3.346,5,Sul,1
0.2158,38.97,38.69,40.57,2.63,1,1.654,3,Semiárido,0
0.9171,43.49,65.1,33.51,3.41,15,3.551,6,Amazônia,0
0.7125,75.9,142.88,22.56,15.37,48,0.817,3,Amazônia,2
0.0756,10.81,4.87,39.8,2.65,7,5.565,4,Semiárido,0
0.3417,35.93,23.78,44.66,14.25,7,0.126,0,Semiárido,1
0.2054,21.93,13.8,45.05,14.71,11,1.344,1,Semiárido,0
0.2343,5.0,1.4,35.69,22.6,0,1.166,2,Semiárido,1
0.8112,36.48,88.5,32.35,15.66,18,13.894,2,Amazônia,1
0.6667,68.6,125.81,30.51,24.64,41,0.783,7,Cerrado,2
0.8267,54.8,98.59,29.36,0.77,36,11.072,3,Amazônia,0
0.5825,45.67,105.22,23.24,33.29,9,0.664,3,Sul,2
0.562,46.45,81.15,23.44,20.73,0,5.259,2,Mata Atlântica,1
0.3005,22.95,38.6,41.2,18.23,27,1.927,6,Cerrado,1
0.7573,30.0,43.83,30.36,9.65,8,1.899,2,Amazônia,1
0.5138,21.93,13.47,28.27,15.28,15,30.0,5,Cerrado,0
0.5701,60.11,83.98,41.48,7.74,3,1.281,2,Cerrado,1
0.2806,21.06,8.34,42.49,3.98,3,1.132,4,Semiárido,0
0.4709,9.11,10.73,34.84,32.66,12,4.45,5,Mata Atlântica,1
0.6922,48.8,78.86,25.28,25.9,10,6.75,2,Sul,1
0.3476,46.84,79.93,36.97,26.35,4,20.229,3,Mata Atlântica,1
0.8879,28.98,65.2,28.71,23.02,44,6.043,1,Amazônia,1
0.0658,24.8,25.55,39.97,3.5,1,4.126,3,Semiárido,0
0.3002,31.9,15.51,47.44,18.39,2,2.631,3,Semiárido,1
0.7506,40.05,65.53,32.47,40.08,2,4.521,2,Mata Atlântica,1
0.0635,5.0,3.01,36.41,3.68,10,4.592,3,Semiárido,0
0.4488,52.2,92.31,27.46,49.55,8,1.228,0,Mata Atlântica,2
0.5829,30.95,67.45,40.77,16.84,18,5.562,2,Mata Atlântica,0
0.3047,60.34,95.55,25.89,9.71,26,1.143,6,Cerrado,1
0.6995,84.15,153.9,23.33,18.83,1,3.366,1,Amazônia,2
0.6468,20.15,25.34,34.89,16.53,14,1.505,3,Amazônia,0
0.8203,58.79,113.17,38.99,24.22,30,1.876,4,Amazônia,1
0.6014,12.19,8.55,41.06,13.43,0,4.758,3,Mata Atlântica,0
0.5321,32.49,49.34,37.34,13.58,36,0.333,1,Cerrado,1
0.4195,24.78,46.1,25.99,46.38,2,0.1,3,Mata Atlântica,1
0.657,5.06,13.56,20.19,6.21,5,0.7,0,Sul,1
0.7789,95.0,196.56,40.39,0.27,9,0.924,4,Amazônia,1
0.3752,71.09,141.18,25.26,24.73,77,1.102,2,Cerrado,2
0.0798,27.62,35.82,34.39,11.99,11,7.435,2,Semiárido,1
0.8474,74.37,136.6,33.11,15.64,39,2.961,2,Amazônia,1
0.6219,35.04,49.41,30.85,9.0,12,3.174,2,Amazônia,0
0.4253,68.46,149.27,41.69,21.31,41,5.169,5,Cerrado,1
0.6013,73.34,168.85,23.19,14.05,33,6.53,3,Amazônia,1
0.6579,75.17,153.73,17.38,33.22,17,0.1,3,Sul,2
0.2603,18.23,11.15,34.59,16.22,19,9.715,2,Semiárido,0
0.2613,45.41,90.71,32.55,41.74,4,22.299,2,Mata Atlântica,1
0.3116,43.62,80.2,25.23,12.69,12,0.649,0,Sul,1
0.1867,28.5,3.27,35.3,20.19,13,5.265,3,Semiárido,1
0.6946,85.64,198.88,29.87,7.24,52,0.1,4,Amazônia,2
0.2612,90.61,190.63,17.82,39.35,17,0.251,4,Sul,2
0.6903,51.16,57.18,37.23,36.86,13,1.677,3,Mata Atlântica,1
0.1454,23.01,29.42,32.8,8.84,18,9.367,3,Semiárido,0
0.3621,61.4,125.51,16.24,35.06,2,5.285,1,Sul,1
0.3629,89.39,154.09,30.51,16.14,9,2.951,4,Cerrado,1
0.9185,74.94,141.9,37.48,17.67,44,2.887,3,Amazônia,1
0.7321,33.69,58.26,38.41,20.56,59,3.137,3,Amazônia,1
0.5602,25.05,29.72,26.89,3.99,24,1.863,4,Cerrado,0
0.2139,11.26,14.35,36.36,23.6,16,10.507,3,Semiárido,0
0.7504,54.39,115.57,27.61,18.36,14,4.195,3,Sul,1
0.7728,95.0,191.6,22.46,21.51,59,3.308,4,Amazônia,2
0.6432,50.52,106.94,32.97,16.87,14,3.128,1,Mata Atlântica,1
0.4954,32.65,49.65,26.49,0.73,40,13.731,1,Cerrado,0
0.8463,95.0,216.97,23.58,14.33,23,6.431,5,Amazônia,1
0.6015,95.0,202.23,36.6,8.12,56,0.782,0,Amazônia,2
0.6934,41.59,49.65,31.96,24.61,51,2.872,6,Cerrado,1
0.2256,50.66,96.58,30.72,33.45,13,1.701,2,Sul,1
0.3175,19.43,11.97,35.28,1.18,42,21.664,4,Cerrado,0
0.2775,32.25,40.28,36.6,23.96,19,2.684,1,Mata Atlântica,1
0.0739,27.36,32.43,34.41,5.42,3,0.351,8,Semiárido,1
0.3225,62.48,123.89,27.27,14.48,69,2.648,1,Cerrado,1
0.5597,77.37,166.3,22.36,34.62,0,1.938,7,Sul,2
0.2207,42.63,62.96,32.31,24.17,13,4.576,1,Sul,1
0.4331,8.99,27.82,38.31,2.22,4,1.281,0,Cerrado,0
0.801,43.7,78.86,32.46,21.63,14,0.183,1,Mata Atlântica,1
0.4051,39.61,110.09,26.54,4.6,44,0.504,5,Cerrado,1
0.3659,46.73,104.32,34.5,18.64,63,1.664,2,Cerrado,1
0.726,95.0,219.89,40.9,19.5,50,2.141,3,Amazônia,2
0.7096,86.03,147.97,23.64,48.56,15,8.992,4,Mata Atlântica,2
0.5375,32.12,36.56,24.19,36.12,10,1.574,5,Mata Atlântica,1
0.7515,95.0,207.67,38.88,22.11,10,0.16,3,Amazônia,2
0.5367,80.13,141.44,24.19,12.45,31,7.587,2,Cerrado,1
0.7777,47.76,67.46,18.36,29.03,0,10.16,2,Sul,1
0.729,95.0,190.16,28.96,22.89,9,3.389,2,Amazônia,2
0.7294,94.78,210.88,31.33,15.28,15,1.677,4,Amazônia,1
0.2345,54.37,101.28,33.39,33.32,10,7.395,2,Mata Atlântica,1
0.7171,30.39,46.58,19.3,16.93,4,0.1,5,Sul,1
0.7458,71.1,156.11,40.26,24.8,17,12.887,4,Amazônia,1
0.3489,46.3,73.41,37.37,49.54,11,10.032,2,Mata Atlântica,1
0.2769,12.38,0.31,42.79,7.03,10,3.935,0,Semiárido,0
0.6742,46.07,71.52,31.53,23.82,41,1.626,6,Amazônia,1
0.1177,26.66,31.75,35.05,24.54,6,0.167,8,Semiárido,1
0.3153,60.46,98.17,41.11,5.78,3,30.0,3,Cerrado,0
0.6005,77.35,151.32,22.08,46.72,11,7.179,2,Mata Atlântica,2
0.5083,60.69,107.96,37.52,17.98,0,2.068,2,Mata Atlântica,1
0.4546,63.76,125.26,22.63,39.48,18,0.1,2,Mata Atlântica,2
0.8127,41.56,79.72,37.22,16.74,21,5.098,1,Amazônia,1
0.3454,27.01,13.86,37.42,7.63,18,21.677,0,Semiárido,0
0.5571,26.69,72.68,29.79,16.87,69,6.139,4,Cerrado,1
0.8281,43.92,59.2,26.82,22.84,38,0.437,3,Amazônia,1
0.8585,67.03,136.39,26.53,12.47,11,2.573,2,Amazônia,1
0.4975,65.58,135.48,31.83,12.18,12,0.578,7,Mata Atlântica,1
0.5373,84.0,158.2,25.42,26.08,18,12.161,7,Mata Atlântica,1
0.7383,17.04,41.71,35.46,24.35,18,2.005,0,Amazônia,1
0.5335,6.77,7.27,29.37,37.5,10,6.61,4,Mata Atlântica,1
0.6697,40.04,81.03,28.46,23.07,13,0.442,2,Amazônia,1
0.3198,36.18,61.5,31.23,44.19,4,0.687,2,Mata Atlântica,1
0.7006,77.6,162.86,32.85,8.43,39,5.689,5,Amazônia,1
0.6957,86.13,139.31,24.84,46.65,13,9.273,1,Mata Atlântica,2
0.6859,26.06,3.7,36.16,19.43,23,1.125,2,Cerrado,1
0.6073,52.48,129.04,17.28,31.62,1,2.709,3,Sul,1
0.7806,30.64,35.83,27.56,0.98,49,4.83,2,Amazônia,0
0.675,84.62,149.05,25.61,3.32,43,7.955,3,Cerrado,1
0.8924,39.42,55.17,37.21,23.41,1,4.947,3,Amazônia,0
0.4521,70.22,144.07,22.07,38.44,18,0.501,3,Sul,2
0.4444,22.86,32.59,24.84,6.29,9,3.913,4,Sul,0
0.3375,40.17,79.54,34.38,20.89,57,10.797,0,Cerrado,1
0.5216,23.68,37.49,26.8,44.87,4,10.126,1,Mata Atlântica,1
0.253,11.95,25.58,34.71,8.79,1,4.398,5,Semiárido,0
0.7686,25.29,35.67,41.63,16.83,5,27.241,5,Mata Atlântica,0
0.3109,49.51,113.37,27.84,11.03,17,0.555,3,Mata Atlântica,1
0.7415,67.65,130.36,40.07,24.71,32,3.256,5,Amazônia,1
0.7858,95.0,215.83,25.56,1.25,24,7.461,3,Amazônia,1
0.3958,41.06,64.7,20.54,18.95,19,0.76,3,Sul,1
0.2121,87.36,182.14,29.67,16.05,3,18.013,3,Sul,1
0.7776,60.71,106.44,23.57,27.85,14,2.185,6,Mata Atlântica,1
0.6744,45.7,59.5,36.67,8.65,74,2.155,3,Cerrado,1
0.5712,81.33,128.95,39.84,17.87,23,1.199,6,Cerrado,1
0.2716,5.0,6.03,43.74,13.49,19,1.699,1,Semiárido,0
0.6957,76.67,161.35,22.66,36.76,5,4.309,6,Sul,2
0.3309,67.54,131.93,17.9,31.11,8,2.805,2,Sul,2
0.1348,16.17,5.48,44.92,11.76,12,1.075,3,Semiárido,1
0.5388,5.0,9.61,36.28,16.4,4,8.281,3,Mata Atlântica,0
0.9416,58.67,124.37,22.53,9.09,18,0.321,0,Amazônia,1
0.6439,59.6,106.82,25.57,4.37,11,8.999,4,Amazônia,0
0.409,82.12,157.17,19.67,27.35,17,1.607,2,Sul,2
0.3038,76.13,138.83,40.67,31.36,6,3.425,2,Mata Atlântica,2
0.8825,59.11,100.24,28.84,11.96,10,2.399,3,Amazônia,1
0.6421,94.12,179.11,34.58,20.21,58,4.227,2,Amazônia,2
0.3087,60.35,107.36,22.24,30.51,13,7.948,4,Mata Atlântica,1
0.6061,31.72,46.8,36.22,22.21,1,22.697,3,Amazônia,1
0.7027,32.46,37.7,34.06,12.85,55,1.827,3,Amazônia,1
0.8344,8.14,35.31,36.31,49.08,18,4.035,6,Mata Atlântica,1
0.4153,25.8,7.58,40.09,13.15,9,3.137,7,Mata Atlântica,0
0.2771,9.87,38.51,24.93,38.99,10,30.0,4,Mata Atlântica,1
0.7301,15.74,31.63,27.23,1.4,21,8.275,3,Amazônia,0
0.1681,10.41,4.88,45.62,2.94,19,2.53,3,Semiárido,0
0.7049,73.51,127.89,25.13,1.59,16,3.24,5,Amazônia,1
0.3893,40.92,120.74,36.41,10.59,68,1.412,3,Cerrado,1
0.2727,23.3,29.75,34.36,13.32,9,7.038,0,Semiárido,0
0.5522,73.42,125.58,35.66,33.39,7,9.328,2,Mata Atlântica,1
0.0675,19.02,2.34,40.78,12.89,3,16.76,1,Semiárido,0
0.6413,21.86,38.37,26.3,32.38,12,4.172,1,Mata Atlântica,1
0.6713,70.31,137.97,35.33,31.81,5,5.554,3,Mata Atlântica,1
0.8731,95.0,218.54,25.73,20.75,15,2.953,4,Amazônia,2
0.5993,66.3,130.77,35.23,17.12,40,4.697,2,Cerrado,1
0.6612,49.13,104.25,31.85,11.84,40,2.144,2,Cerrado,1
0.706,16.31,29.54,29.73,5.4,45,6.691,5,Amazônia,0
0.6594,32.32,41.45,33.93,14.5,4,0.115,2,Sul,1
0.4698,16.15,11.21,40.95,8.54,43,0.144,5,Cerrado,1
0.3259,65.24,112.87,21.84,13.17,13,6.296,6,Sul,0
0.3701,83.74,158.45,33.23,32.11,9,13.345,1,Mata Atlântica,2
0.2494,19.59,8.71,39.54,24.39,14,5.002,4,Semiárido,0
0.4149,40.83,52.38,35.08,37.51,16,6.483,1,Mata Atlântica,1
0.7593,56.23,132.35,41.16,41.59,6,8.684,2,Mata Atlântica,1
0.5079,59.09,123.04,24.13,11.0,19,2.245,1,Mata Atlântica,1
0.93,26.65,40.71,38.93,17.61,8,0.572,5,Amazônia,1
0.0522,18.33,18.72,33.07,7.35,12,13.522,2,Semiárido,0
0.6658,13.23,18.91,38.21,23.82,21,13.949,3,Cerrado,0
0.7906,78.9,135.53,39.11,21.92,26,2.916,5,Amazônia,2
0.7404,86.68,133.85,27.43,29.51,11,1.224,4,Mata Atlântica,2
0.6265,22.16,23.47,30.18,12.23,25,11.145,4,Amazônia,0
0.555,50.71,88.07,15.43,17.54,0,6.162,1,Sul,1
0.3391,23.34,14.39,27.2,7.77,9,0.1,4,Sul,0
0.5091,57.35,137.02,23.46,26.17,1,0.57,3,Sul,2
0.4205,66.89,124.66,24.21,6.13,56,20.432,2,Cerrado,1
0.8178,41.09,51.17,40.29,7.31,10,0.194,5,Amazônia,1
0.8285,13.38,18.75,22.97,26.15,11,1.66,3,Sul,1
0.3685,38.42,84.12,33.51,15.39,37,3.976,2,Cerrado,1
0.7118,35.83,60.1,33.11,39.7,9,1.019,3,Sul,2
0.8397,25.0,34.06,15.33,14.1,19,1.32,3,Sul,1
0.2129,39.21,80.25,21.54,16.28,4,2.177,4,Sul,1
0.3633,87.4,133.39,31.74,1.88,45,1.571,2,Cerrado,2
0.5752,33.92,61.06,22.0,14.82,36,8.132,5,Cerrado,0
0.2263,54.95,119.19,25.65,37.61,14,3.468,7,Sul,2
0.4701,33.49,53.33,22.15,8.98,46,1.633,5,Cerrado,1
0.9211,84.64,148.24,37.47,14.15,48,1.878,3,Amazônia,1
0.2076,54.9,98.48,31.41,44.45,3,0.203,4,Mata Atlântica,2
0.5821,81.03,147.73,19.97,39.68,0,0.253,6,Sul,2
0.5259,71.99,151.71,26.17,34.13,7,6.328,2,Mata Atlântica,1
0.7677,63.62,91.78,34.15,33.76,10,0.599,3,Mata Atlântica,2
0.6218,81.92,148.35,32.74,4.24,4,3.229,2,Amazônia,1
0.643,79.43,134.3,25.28,23.69,11,9.237,3,Mata Atlântica,1
0.6421,87.72,164.55,27.76,6.59,12,2.298,1,Sul,1
0.8208,77.86,134.76,23.34,10.42,15,2.121,3,Amazônia,1
0.8125,70.45,148.36,23.33,47.33,17,10.32,4,Mata Atlântica,1
0.735,25.35,42.42,15.12,27.11,11,10.007,1,Sul,1
0.2038,30.69,21.83,34.44,10.9,9,10.607,0,Semiárido,0
0.5062,65.88,95.49,35.59,13.11,14,4.242,4,Mata Atlântica,1
0.1908,17.83,37.41,44.85,7.4,2,15.215,3,Semiárido,0
0.3412,45.76,74.28,28.85,19.87,47,8.545,2,Cerrado,1
0.5876,30.41,52.49,24.64,3.95,41,2.686,5,Cerrado,1
0.1078,17.47,28.71,35.7,4.46,15,4.965,2,Semiárido,0
0.0887,23.39,24.45,39.77,11.4,1,0.649,3,Semiárido,1
0.8365,48.34,64.28,19.45,36.73,0,4.007,4,Sul,1
0.2576,34.15,45.17,21.65,16.94,3,1.527,1,Sul,1
0.7995,64.67,125.9,33.69,20.33,16,1.667,2,Mata Atlântica,1
0.5122,34.02,43.79,27.52,48.71,6,0.672,0,Mata Atlântica,1
0.0999,10.36,7.13,44.31,15.11,4,2.217,5,Semiárido,1
0.7396,37.73,53.74,27.04,22.73,3,3.283,2,Mata Atlântica,1
0.332,35.03,30.49,40.49,18.31,19,4.586,5,Semiárido,1
0.1529,5.0,19.25,41.75,11.72,19,1.818,3,Semiárido,1
0.4662,27.66,24.82,34.82,13.93,4,7.857,2,Sul,0
0.3123,63.5,144.79,41.31,20.67,11,3.68,2,Cerrado,1
0.6517,66.36,102.38,32.94,8.07,14,5.081,2,Cerrado,0
0.8776,54.83,109.83,28.57,12.11,54,1.63,5,Amazônia,1
0.2708,16.2,35.06,23.91,33.15,5,8.414,2,Mata Atlântica,1
0.6847,92.12,168.42,32.87,5.04,39,4.894,4,Amazônia,1
0.4781,77.91,143.0,39.21,43.95,4,9.915,2,Mata Atlântica,2
0.2641,20.63,40.98,39.33,42.11,7,0.871,3,Mata Atlântica,1
0.3098,30.56,67.28,34.09,11.02,71,2.396,4,Cerrado,1
0.2934,69.2,133.54,29.87,35.77,12,0.6,1,Mata Atlântica,2
0.8491,41.14,89.7,35.01,0.22,9,1.214,3,Amazônia,1
0.9434,86.33,186.6,37.24,7.21,14,2.509,2,Amazônia,1
0.0618,25.32,31.66,40.5,0.35,0,11.249,4,Semiárido,0
0.5609,68.57,145.85,31.53,9.36,71,4.071,4,Cerrado,1
0.7529,52.12,85.17,35.61,1.57,39,2.005,3,Amazônia,1
0.8359,33.32,25.07,39.53,43.77,9,6.87,4,Mata Atlântica,0
0.1903,23.79,32.95,38.18,16.73,10,0.1,1,Semiárido,1
0.8178,40.0,63.71,22.45,22.67,33,2.311,2,Amazônia,1
0.2296,88.3,136.73,24.49,10.92,4,4.592,5,Mata Atlântica,1
0.6665,45.24,98.43,39.06,20.92,1,4.376,2,Amazônia,1
0.8774,95.0,217.91,38.68,0.73,24,4.677,2,Amazônia,1
0.7334,39.9,46.93,29.78,23.18,15,1.188,2,Mata Atlântica,1
0.2832,64.46,104.78,33.69,23.88,1,2.055,3,Mata Atlântica,1
0.8486,23.25,6.42,40.12,26.63,14,13.409,2,Mata Atlântica,0
0.1799,27.1,32.68,42.26,22.06,8,18.244,0,Semiárido,1
0.6707,49.49,97.14,21.28,5.44,16,1.87,5,Sul,1
0.7902,45.57,59.0,26.19,13.16,1,5.171,3,Mata Atlântica,0
0.6418,34.73,34.47,36.61,14.04,44,1.381,4,Cerrado,1
0.3162,27.59,19.25,40.0,6.62,0,2.299,0,Semiárido,0
0.3084,70.95,133.31,39.88,16.08,42,7.859,2,Cerrado,1
0.3892,27.8,51.77,24.98,10.99,67,3.478,2,Cerrado,1
0.8242,84.14,159.75,35.25,0.13,29,9.472,2,Amazônia,1
0.8333,41.38,52.46,34.2,11.92,58,4.954,3,Amazônia,1
0.2348,45.99,61.15,28.87,33.79,8,4.957,4,Sul,1
0.2027,6.61,0.1,47.86,0.35,1,0.172,3,Semiárido,0
0.5459,12.79,0.58,23.19,22.96,6,6.925,4,Mata Atlântica,0
0.4014,56.38,125.07,36.12,16.31,36,19.053,0,Cerrado,0
0.6042,48.17,66.63,29.66,3.95,32,3.203,2,Amazônia,0
0.6032,81.67,171.46,28.41,10.78,42,0.863,2,Amazônia,2
0.5267,87.91,157.58,41.83,24.11,50,18.856,2,Cerrado,2
0.5593,45.03,97.29,33.81,37.81,7,1.713,2,Mata Atlântica,1
0.1337,28.27,22.04,46.55,10.27,10,2.631,3,Semiárido,1
0.8212,40.37,61.16,32.53,47.31,15,0.403,6,Mata Atlântica,2
0.591,69.11,143.79,37.4,3.1,61,0.587,6,Cerrado,1
0.3298,29.98,31.79,27.89,22.49,18,1.22,1,Sul,1
0.2236,8.84,7.83,33.53,7.44,1,3.976,2,Semiárido,0
0.4691,24.9,19.59,41.95,35.02,11,4.08,4,Mata Atlântica,1
0.3513,63.02,121.46,31.2,29.35,10,4.66,6,Mata Atlântica,1
0.5243,39.54,95.29,36.12,20.31,10,4.383,4,Cerrado,1
0.6102,55.61,117.63,37.96,8.77,0,3.418,4,Amazônia,1
0.3802,22.45,34.96,29.52,3.59,8,8.1,5,Cerrado,0
0.1449,24.1,6.94,38.01,14.89,9,13.583,2,Semiárido,0
0.6415,79.6,137.25,41.38,16.16,5,1.572,5,Amazônia,1
0.7011,95.0,159.84,22.65,10.61,6,0.697,3,Amazônia,2
0.7392,80.06,125.04,28.71,17.29,50,2.768,3,Amazônia,1
0.9218,90.7,186.95,31.72,18.67,3,0.134,2,Amazônia,2
0.3625,17.67,20.19,17.07,30.74,2,10.742,1,Sul,1
0.2213,13.99,16.02,41.93,12.56,8,1.37,4,Semiárido,1
0.4278,44.71,88.19,27.72,37.22,6,3.985,4,Mata Atlântica,1
0.7301,11.32,35.32,27.15,0.64,52,0.611,5,Amazônia,1
0.2823,81.25,157.0,38.41,37.09,1,4.029,2,Mata Atlântica,2
0.5677,20.21,45.08,27.56,30.87,7,0.199,4,Mata Atlântica,1
0.9214,43.61,74.53,35.15,6.76,24,7.323,3,Amazônia,1
0.4859,31.51,10.08,38.43,2.28,71,15.553,2,Cerrado,0
0.6283,69.44,139.73,37.85,4.81,47,1.833,3,Cerrado,1
0.4825,52.91,90.97,37.64,41.83,5,1.493,3,Mata Atlântica,2
0.5173,45.26,61.62,23.77,16.2,17,2.971,1,Mata Atlântica,1
0.6879,72.63,132.84,23.6,23.19,2,4.838,5,Amazônia,1
0.3474,81.2,151.48,28.14,4.07,70,1.047,3,Cerrado,2
0.5169,45.66,84.84,22.72,49.53,0,8.131,2,Mata Atlântica,1
0.5759,28.72,45.27,32.01,45.38,11,1.107,5,Mata Atlântica,1
0.648,92.55,198.51,18.18,31.08,7,0.1,0,Sul,2
0.2695,36.46,43.31,33.14,19.9,4,3.714,1,Mata Atlântica,1
0.9214,88.63,203.64,27.98,10.55,0,0.612,1,Amazônia,2
0.6356,61.53,96.27,31.72,20.29,33,5.991,1,Amazônia,1
0.247,61.08,137.07,28.69,17.92,5,0.916,3,Mata Atlântica,1
0.6773,81.13,139.54,25.9,14.31,44,8.502,3,Amazônia,1
0.445,67.28,132.24,34.99,44.3,14,3.178,7,Mata Atlântica,2
0.2652,39.82,87.28,27.13,39.23,3,4.177,3,Sul,1
0.612,32.98,40.37,38.58,15.52,5,1.033,3,Mata Atlântica,1
0.3221,88.95,157.35,39.5,9.93,12,0.793,5,Cerrado,1
0.777,28.6,48.62,36.09,32.91,17,4.989,2,Mata Atlântica,1
0.8225,39.31,51.8,35.75,45.21,9,1.475,0,Mata Atlântica,1
0.764,63.7,158.35,23.13,26.73,12,2.438,2,Mata Atlântica,2
0.2014,72.4,160.52,32.97,29.98,19,3.264,3,Sul,2
0.6893,75.65,121.69,38.25,19.98,50,1.304,2,Cerrado,2
0.7321,19.81,25.51,23.52,34.83,6,7.934,5,Sul,1
0.4381,25.43,66.71,34.44,37.95,7,14.019,5,Sul,1
0.6989,13.87,20.81,24.91,24.04,41,2.827,0,Amazônia,1
0.7236,48.22,100.33,25.9,15.15,55,12.478,2,Amazônia,1
